particle_id,longitude,latitude,mass,water_fraction,age_hours
396,70.74158682956383,20.830239825500712,1.0,0.0,36.0
397,70.74322378086119,20.870070916545547,1.0,0.0,36.0
398,70.76358859560133,20.837715495198164,1.0,0.0,36.0
399,70.72082056172229,20.824398211991124,1.0,0.0,36.0
400,70.74742935144793,20.859212687483627,1.0,0.0,36.0
401,70.75119669758587,20.819414874093937,1.0,0.0,36.0
402,70.74325231102507,20.85766872866814,1.0,0.0,36.0
403,70.71069183554957,20.842630650907576,1.0,0.0,36.0
404,70.74816025028109,20.862878167842105,1.0,0.0,36.0
405,70.75049334416389,20.858024699274658,1.0,0.0,36.0
406,70.72250163573312,20.799140015705195,1.0,0.0,36.0
407,70.73992265745972,20.84807467358936,1.0,0.0,36.0
408,70.70456038103423,20.84022604191297,1.0,0.0,36.0
409,70.7532908959295,20.848276153719034,1.0,0.0,36.0
410,70.71597636012801,20.845640427743554,1.0,0.0,36.0
411,70.73481007326089,20.82388817481953,1.0,0.0,36.0
412,70.75771901447034,20.843113961518753,1.0,0.0,36.0
413,70.72700005534384,20.864638823814232,1.0,0.0,36.0
414,70.73279442998486,20.833700258411056,1.0,0.0,36.0
415,70.73772468652236,20.850588548885334,1.0,0.0,36.0
416,70.73353108736906,20.841733589196334,1.0,0.0,36.0
417,70.75002508041624,20.837863873989733,1.0,0.0,36.0
418,70.74239806726258,20.83815482325495,1.0,0.0,36.0
419,70.74629253220097,20.828378815565138,1.0,0.0,36.0
420,70.71800731891743,20.807376541058325,1.0,0.0,36.0
421,70.73211470888656,20.83728566445837,1.0,0.0,36.0
422,70.75167826214738,20.864136817373993,1.0,0.0,36.0
423,70.73567392241517,20.843348335841384,1.0,0.0,36.0
424,70.67890201491129,20.854570907385295,1.0,0.0,36.0
425,70.72913190724505,20.848334062745995,1.0,0.0,36.0
426,70.74195452250493,20.81674056914258,1.0,0.0,36.0
427,70.73499381431081,20.876548606174147,1.0,0.0,36.0
428,70.75402965513528,20.82330307287582,1.0,0.0,36.0
429,70.75749912407937,20.832672808806603,1.0,0.0,36.0
430,70.7280786191514,20.854826119476723,1.0,0.0,36.0
431,70.74095736793258,20.852809418455386,1.0,0.0,36.0
432,70.70208922135782,20.853950120202168,1.0,0.0,36.0
433,70.72943367448345,20.864239118643628,1.0,0.0,36.0
434,70.71446733698966,20.881875534314,1.0,0.0,36.0
435,70.7215130189899,20.861981462497095,1.0,0.0,36.0
436,70.75243655053731,20.8640493951981,1.0,0.0,36.0
437,70.76481837405754,20.820186937948815,1.0,0.0,36.0
438,70.7420112090666,20.85376213556047,1.0,0.0,36.0
439,70.72227289284511,20.8459768406186,1.0,0.0,36.0
440,70.72518026404772,20.84407698910458,1.0,0.0,36.0
441,70.72452728952636,20.867591149309316,1.0,0.0,36.0
442,70.71296741225304,20.823594553924043,1.0,0.0,36.0
443,70.72482544070374,20.82279432120382,1.0,0.0,36.0
444,70.74870279059331,20.859230831599387,1.0,0.0,36.0
445,70.72118061310272,20.82444530257339,1.0,0.0,36.0
446,70.74284669097013,20.7975990090338,1.0,0.0,36.0
447,70.74322533412541,20.8248544783554,1.0,0.0,36.0
448,70.70154530277478,20.819965855049027,1.0,0.0,36.0
449,70.75796528185916,20.858678978947438,1.0,0.0,36.0
450,70.71882225242034,20.826749048499913,1.0,0.0,36.0
451,70.73958632234557,20.87101666155345,1.0,0.0,36.0
452,70.72022016387491,20.839666671531702,1.0,0.0,36.0
453,70.73711209384759,20.852713649645437,1.0,0.0,36.0
454,70.713988721265,20.831069163121487,1.0,0.0,36.0
455,70.76498309339716,20.8810189752327,1.0,0.0,36.0
456,70.7464847157865,20.84399475273445,1.0,0.0,36.0
457,70.74288160182874,20.851481220388564,1.0,0.0,36.0
458,70.74160076664248,20.844207231006006,1.0,0.0,36.0
459,70.73636641028313,20.862539225015176,1.0,0.0,36.0
460,70.73154511609197,20.836971765363447,1.0,0.0,36.0
461,70.71985125662361,20.831594515221827,1.0,0.0,36.0
462,70.72354249660482,20.8459724857557,1.0,0.0,36.0
